Vegetation Type;CO2;Cal_per_hr
Dune fynbos-thicket mos.;300;3,054153281
Dune fynbos-thicket mos.;240;2,413070216
Dune fynbos-thicket mos.;180;1,716805874
Dune fynbos-thicket mos.;400;106
Dune fynbos-thicket mos.;300;80,93506196
Dune fynbos-thicket mos.;240;63,94636072
Dune fynbos-thicket mos.;180;45,49535567
Dune fynbos-thicket mos.;400;132
Dune fynbos-thicket mos.;300;100,7870583
Dune fynbos-thicket mos.;240;79,63131712
Dune fynbos-thicket mos.;180;56,65459385
Dune fynbos-thicket mos.;400;88
Dune fynbos-thicket mos.;300;67,19137219
Dune fynbos-thicket mos.;240;53,08754475
Dune fynbos-thicket mos.;180;37,76972923
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;156
Dune fynbos-thicket mos.;300;119,111978
Dune fynbos-thicket mos.;240;94,10973841
Dune fynbos-thicket mos.;180;66,9554291
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;90
Dune fynbos-thicket mos.;300;68,71844883
Dune fynbos-thicket mos.;240;54,29407985
Dune fynbos-thicket mos.;180;38,62813217
Dune fynbos-thicket mos.;400;29
Dune fynbos-thicket mos.;300;22,14261129
Dune fynbos-thicket mos.;240;17,49475906
Dune fynbos-thicket mos.;180;12,44684259
Dune fynbos-thicket mos.;400;93
Dune fynbos-thicket mos.;300;71,00906379
Dune fynbos-thicket mos.;240;56,10388251
Dune fynbos-thicket mos.;180;39,91573658
Dune fynbos-thicket mos.;400;2
Dune fynbos-thicket mos.;300;1,527076641
Dune fynbos-thicket mos.;240;1,206535108
Dune fynbos-thicket mos.;180;0,858402937
Dune fynbos-thicket mos.;400;41
Dune fynbos-thicket mos.;300;31,30507113
Dune fynbos-thicket mos.;240;24,73396971
Dune fynbos-thicket mos.;180;17,59726021
Dune fynbos-thicket mos.;400;34
