Vegetation Type;CO2;Cal_per_hr
Dune fynbos-thicket mos.;400;10
Dune fynbos-thicket mos.;300;7,635383203
Dune fynbos-thicket mos.;240;6,032675539
Dune fynbos-thicket mos.;180;4,292014686
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;120
Dune fynbos-thicket mos.;300;91,62459844
Dune fynbos-thicket mos.;240;72,39210647
Dune fynbos-thicket mos.;180;51,50417623
Dune fynbos-thicket mos.;400;16
Dune fynbos-thicket mos.;300;12,21661313
Dune fynbos-thicket mos.;240;9,652280863
Dune fynbos-thicket mos.;180;6,867223497
Dune fynbos-thicket mos.;400;101
Dune fynbos-thicket mos.;300;77,11737035
Dune fynbos-thicket mos.;240;60,93002295
Dune fynbos-thicket mos.;180;43,34934832
Dune fynbos-thicket mos.;400;34
Dune fynbos-thicket mos.;300;25,96030289
Dune fynbos-thicket mos.;240;20,51109683
Dune fynbos-thicket mos.;180;14,59284993
Dune fynbos-thicket mos.;400;273
Dune fynbos-thicket mos.;300;208,4459615
Dune fynbos-thicket mos.;240;164,6920422
Dune fynbos-thicket mos.;180;117,1720009
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;9
Dune fynbos-thicket mos.;300;6,871844883
Dune fynbos-thicket mos.;240;5,429407985
Dune fynbos-thicket mos.;180;3,862813217
Dune fynbos-thicket mos.;400;47
Dune fynbos-thicket mos.;300;35,88630106
Dune fynbos-thicket mos.;240;28,35357503
Dune fynbos-thicket mos.;180;20,17246902
Dune fynbos-thicket mos.;400;202
Dune fynbos-thicket mos.;300;154,2347407
Dune fynbos-thicket mos.;240;121,8600459
Dune fynbos-thicket mos.;180;86,69869665
Dune fynbos-thicket mos.;400;407
Dune fynbos-thicket mos.;300;310,7600964
Dune fynbos-thicket mos.;240;245,5298944
Dune fynbos-thicket mos.;180;174,6849977
Dune fynbos-thicket mos.;400;57
Dune fynbos-thicket mos.;300;43,52168426
Dune fynbos-thicket mos.;240;34,38625057
Dune fynbos-thicket mos.;180;24,46448371
Dune fynbos-thicket mos.;400;86
Dune fynbos-thicket mos.;300;65,66429555
Dune fynbos-thicket mos.;240;51,88100964
Dune fynbos-thicket mos.;180;36,9113263
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;14
Dune fynbos-thicket mos.;300;10,68953648
Dune fynbos-thicket mos.;240;8,445745755
Dune fynbos-thicket mos.;180;6,00882056
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;243
Dune fynbos-thicket mos.;300;185,5398118
Dune fynbos-thicket mos.;240;146,5940156
Dune fynbos-thicket mos.;180;104,2959569
Dune fynbos-thicket mos.;400;650
Dune fynbos-thicket mos.;300;496,2999082
Dune fynbos-thicket mos.;240;392,1239101
Dune fynbos-thicket mos.;180;278,9809546
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;93
Dune fynbos-thicket mos.;300;71,00906379
Dune fynbos-thicket mos.;240;56,10388251
Dune fynbos-thicket mos.;180;39,91573658
Dune fynbos-thicket mos.;400;35
Dune fynbos-thicket mos.;300;26,72384121
Dune fynbos-thicket mos.;240;21,11436439
Dune fynbos-thicket mos.;180;15,0220514
Dune fynbos-thicket mos.;400;16
Dune fynbos-thicket mos.;300;12,21661313
Dune fynbos-thicket mos.;240;9,652280863
Dune fynbos-thicket mos.;180;6,867223497
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;4
Subtropical thicket;300;3,054153281
Subtropical thicket;240;2,413070216
Subtropical thicket;180;1,716805874
Subtropical thicket;400;193
Subtropical thicket;300;147,3628958
Subtropical thicket;240;116,4306379
Subtropical thicket;180;82,83588343
Subtropical thicket;400;46
Subtropical thicket;300;35,12276274
Subtropical thicket;240;27,75030748
Subtropical thicket;180;19,74326755
Subtropical thicket;400;51
Subtropical thicket;300;38,94045434
Subtropical thicket;240;30,76664525
Subtropical thicket;180;21,8892749
Subtropical thicket;400;174
Subtropical thicket;300;132,8556677
Subtropical thicket;240;104,9685544
Subtropical thicket;180;74,68105553
Subtropical thicket;400;75
Subtropical thicket;300;57,26537402
Subtropical thicket;240;45,24506654
Subtropical thicket;180;32,19011014
Subtropical thicket;400;2
Subtropical thicket;300;1,527076641
Subtropical thicket;240;1,206535108
Subtropical thicket;180;0,858402937
Subtropical thicket;400;61
Subtropical thicket;300;46,57583754
Subtropical thicket;240;36,79932079
Subtropical thicket;180;26,18128958
Subtropical thicket;400;94
Subtropical thicket;300;71,77260211
Subtropical thicket;240;56,70715007
Subtropical thicket;180;40,34493804
Subtropical thicket;400;5
Subtropical thicket;300;3,817691602
Subtropical thicket;240;3,01633777
Subtropical thicket;180;2,146007343
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;18
Subtropical thicket;300;13,74368977
Subtropical thicket;240;10,85881597
Subtropical thicket;180;7,725626434
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;26
Subtropical thicket;300;19,85199633
Subtropical thicket;240;15,6849564
Subtropical thicket;180;11,15923818
Subtropical thicket;400;31
Subtropical thicket;300;23,66968793
Subtropical thicket;240;18,70129417
Subtropical thicket;180;13,30524553
Subtropical thicket;400;31
Subtropical thicket;300;23,66968793
Subtropical thicket;240;18,70129417
Subtropical thicket;180;13,30524553
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;28
Subtropical thicket;300;21,37907297
Subtropical thicket;240;16,89149151
Subtropical thicket;180;12,01764112
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;5
Subtropical thicket;300;3,817691602
Subtropical thicket;240;3,01633777
Subtropical thicket;180;2,146007343
Subtropical thicket;400;27
Subtropical thicket;300;20,61553465
Subtropical thicket;240;16,28822396
Subtropical thicket;180;11,58843965
Subtropical thicket;400;35
Subtropical thicket;300;26,72384121
Subtropical thicket;240;21,11436439
Subtropical thicket;180;15,0220514
Subtropical thicket;400;12
Subtropical thicket;300;9,162459844
Subtropical thicket;240;7,239210647
Subtropical thicket;180;5,150417623
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;5
Subtropical thicket;300;3,817691602
Subtropical thicket;240;3,01633777
Subtropical thicket;180;2,146007343
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;9
Subtropical thicket;300;6,871844883
Subtropical thicket;240;5,429407985
Subtropical thicket;180;3,862813217
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;13
Subtropical thicket;300;9,925998164
Subtropical thicket;240;7,842478201
Subtropical thicket;180;5,579619091
Subtropical thicket;400;4
Subtropical thicket;300;3,054153281
Subtropical thicket;240;2,413070216
Subtropical thicket;180;1,716805874
Subtropical thicket;400;20
Subtropical thicket;300;15,27076641
Subtropical thicket;240;12,06535108
Subtropical thicket;180;8,584029371
Subtropical thicket;400;273
Subtropical thicket;300;208,4459615
Subtropical thicket;240;164,6920422
Subtropical thicket;180;117,1720009
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;460
Subtropical thicket;300;351,2276274
Subtropical thicket;240;277,5030748
Subtropical thicket;180;197,4326755
Subtropical thicket;400;64
Subtropical thicket;300;48,8664525
Subtropical thicket;240;38,60912345
Subtropical thicket;180;27,46889399
Subtropical thicket;400;9
Subtropical thicket;300;6,871844883
Subtropical thicket;240;5,429407985
Subtropical thicket;180;3,862813217
Subtropical thicket;400;60
Subtropical thicket;300;45,81229922
Subtropical thicket;240;36,19605324
Subtropical thicket;180;25,75208811
Subtropical thicket;400;14
Subtropical thicket;300;10,68953648
Subtropical thicket;240;8,445745755
Subtropical thicket;180;6,00882056
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;34
Subtropical thicket;300;25,96030289
Subtropical thicket;240;20,51109683
Subtropical thicket;180;14,59284993
Subtropical thicket;400;5
Subtropical thicket;300;3,817691602
Subtropical thicket;240;3,01633777
Subtropical thicket;180;2,146007343
Subtropical thicket;400;7
Subtropical thicket;300;5,344768242
Subtropical thicket;240;4,222872877
Subtropical thicket;180;3,00441028
Subtropical thicket;400;11
Subtropical thicket;300;8,398921524
Subtropical thicket;240;6,635943093
Subtropical thicket;180;4,721216154
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;3
Subtropical thicket;300;2,290614961
Subtropical thicket;240;1,809802662
Subtropical thicket;180;1,287604406
Subtropical thicket;400;1
Subtropical thicket;300;0,76353832
Subtropical thicket;240;0,603267554
Subtropical thicket;180;0,429201469
Subtropical thicket;400;36
Subtropical thicket;300;27,48737953
Subtropical thicket;240;21,71763194
Subtropical thicket;180;15,45125287
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;48
Subtropical thicket;300;36,64983938
Subtropical thicket;240;28,95684259
Subtropical thicket;180;20,60167049
Subtropical thicket;400;38
Subtropical thicket;300;29,01445617
Subtropical thicket;240;22,92416705
Subtropical thicket;180;16,30965581
Subtropical thicket;400;136
Subtropical thicket;300;103,8412116
Subtropical thicket;240;82,04438733
Subtropical thicket;180;58,37139972
Subtropical thicket;400;66
Subtropical thicket;300;50,39352914
Subtropical thicket;240;39,81565856
Subtropical thicket;180;28,32729693
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;118
Subtropical thicket;300;90,0975218
Subtropical thicket;240;71,18557136
Subtropical thicket;180;50,64577329
Subtropical thicket;400;38
Subtropical thicket;300;29,01445617
Subtropical thicket;240;22,92416705
Subtropical thicket;180;16,30965581
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;54
Subtropical thicket;300;41,2310693
Subtropical thicket;240;32,57644791
Subtropical thicket;180;23,1768793
Subtropical thicket;400;650
Subtropical thicket;300;496,2999082
Subtropical thicket;240;392,1239101
Subtropical thicket;180;278,9809546
Subtropical thicket;400;70
Subtropical thicket;300;53,44768242
Subtropical thicket;240;42,22872877
Subtropical thicket;180;30,0441028
Subtropical thicket;400;0
Subtropical thicket;300;0
Subtropical thicket;240;0
Subtropical thicket;180;0
Subtropical thicket;400;25
Subtropical thicket;300;19,08845801
Subtropical thicket;240;15,08168885
Subtropical thicket;180;10,73003671
Subtropical thicket;400;218
Subtropical thicket;300;166,4513538
Subtropical thicket;240;131,5123268
Subtropical thicket;180;93,56592015
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;90
Sand fynbos;300;68,71844883
Sand fynbos;240;54,29407985
Sand fynbos;180;38,62813217
Sand fynbos;400;93
Sand fynbos;300;71,00906379
Sand fynbos;240;56,10388251
Sand fynbos;180;39,91573658
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;137
Sand fynbos;300;104,6047499
Sand fynbos;240;82,64765489
Sand fynbos;180;58,80060119
Sand fynbos;400;208
Sand fynbos;300;158,8159706
Sand fynbos;240;125,4796512
Sand fynbos;180;89,27390546
Sand fynbos;400;236
Sand fynbos;300;180,1950436
Sand fynbos;240;142,3711427
Sand fynbos;180;101,2915466
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;49
Sand fynbos;300;37,4133777
Sand fynbos;240;29,56011014
Sand fynbos;180;21,03087196
Sand fynbos;400;27
Sand fynbos;300;20,61553465
Sand fynbos;240;16,28822396
Sand fynbos;180;11,58843965
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;30
Sand fynbos;300;22,90614961
Sand fynbos;240;18,09802662
Sand fynbos;180;12,87604406
Sand fynbos;400;37
Sand fynbos;300;28,25091785
Sand fynbos;240;22,3208995
Sand fynbos;180;15,88045434
Sand fynbos;400;47
Sand fynbos;300;35,88630106
Sand fynbos;240;28,35357503
Sand fynbos;180;20,17246902
Sand fynbos;400;27
Sand fynbos;300;20,61553465
Sand fynbos;240;16,28822396
Sand fynbos;180;11,58843965
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;16
Sand fynbos;300;12,21661313
Sand fynbos;240;9,652280863
Sand fynbos;180;6,867223497
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;37
Sand fynbos;300;28,25091785
Sand fynbos;240;22,3208995
Sand fynbos;180;15,88045434
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;41
Sand fynbos;300;31,30507113
Sand fynbos;240;24,73396971
Sand fynbos;180;17,59726021
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;17
Sand fynbos;300;12,98015145
Sand fynbos;240;10,25554842
Sand fynbos;180;7,296424966
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;25
Sand fynbos;300;19,08845801
Sand fynbos;240;15,08168885
Sand fynbos;180;10,73003671
Sand fynbos;400;381
Sand fynbos;300;290,9081
Sand fynbos;240;229,844938
Sand fynbos;180;163,5257595
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;161
Sand fynbos;300;122,9296696
Sand fynbos;240;97,12607618
Sand fynbos;180;69,10143644
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;296
Sand fynbos;300;226,0073428
Sand fynbos;240;178,567196
Sand fynbos;180;127,0436347
Sand fynbos;400;73
Sand fynbos;300;55,73829738
Sand fynbos;240;44,03853144
Sand fynbos;180;31,33170721
Sand fynbos;400;325
Sand fynbos;300;248,1499541
Sand fynbos;240;196,061955
Sand fynbos;180;139,4904773
Sand fynbos;400;84
Sand fynbos;300;64,13721891
Sand fynbos;240;50,67447453
Sand fynbos;180;36,05292336
Sand fynbos;400;135
Sand fynbos;300;103,0776732
Sand fynbos;240;81,44111978
Sand fynbos;180;57,94219826
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;281
Sand fynbos;300;214,554268
Sand fynbos;240;169,5181827
Sand fynbos;180;120,6056127
Sand fynbos;400;444
Sand fynbos;300;339,0110142
Sand fynbos;240;267,8507939
Sand fynbos;180;190,565452
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;2084
Sand fynbos;300;1591,21386
Sand fynbos;240;1257,209582
Sand fynbos;180;894,4558605
Sand fynbos;400;259
Sand fynbos;300;197,756425
Sand fynbos;240;156,2462965
Sand fynbos;180;111,1631804
Sand fynbos;400;87
Sand fynbos;300;66,42783387
Sand fynbos;240;52,48427719
Sand fynbos;180;37,34052777
Sand fynbos;400;344
Sand fynbos;300;262,6571822
Sand fynbos;240;207,5240385
Sand fynbos;180;147,6453052
Sand fynbos;400;266
Sand fynbos;300;203,1011932
Sand fynbos;240;160,4691693
Sand fynbos;180;114,1675906
Sand fynbos;400;9
Sand fynbos;300;6,871844883
Sand fynbos;240;5,429407985
Sand fynbos;180;3,862813217
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;28
Sand fynbos;300;21,37907297
Sand fynbos;240;16,89149151
Sand fynbos;180;12,01764112
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;552
Sand fynbos;300;421,4731528
Sand fynbos;240;333,0036898
Sand fynbos;180;236,9192106
Sand fynbos;400;201
Sand fynbos;300;153,4712024
Sand fynbos;240;121,2567783
Sand fynbos;180;86,26949518
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;186
Sand fynbos;300;142,0181276
Sand fynbos;240;112,207765
Sand fynbos;180;79,83147315
Sand fynbos;400;116
Sand fynbos;300;88,57044516
Sand fynbos;240;69,97903626
Sand fynbos;180;49,78737035
Sand fynbos;400;239
Sand fynbos;300;182,4856586
Sand fynbos;240;144,1809454
Sand fynbos;180;102,579151
Sand fynbos;400;246
Sand fynbos;300;187,8304268
Sand fynbos;240;148,4038183
Sand fynbos;180;105,5835613
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;340
Sand fynbos;300;259,6030289
Sand fynbos;240;205,1109683
Sand fynbos;180;145,9284993
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;260
Sand fynbos;300;198,5199633
Sand fynbos;240;156,849564
Sand fynbos;180;111,5923818
Sand fynbos;400;227
Sand fynbos;300;173,3231987
Sand fynbos;240;136,9417347
Sand fynbos;180;97,42873336
Sand fynbos;400;341
Sand fynbos;300;260,3665672
Sand fynbos;240;205,7142359
Sand fynbos;180;146,3577008
Sand fynbos;400;209
Sand fynbos;300;159,5795089
Sand fynbos;240;126,0829188
Sand fynbos;180;89,70310693
Sand fynbos;400;24
Sand fynbos;300;18,32491969
Sand fynbos;240;14,47842129
Sand fynbos;180;10,30083525
Sand fynbos;400;352
Sand fynbos;300;268,7654888
Sand fynbos;240;212,350179
Sand fynbos;180;151,0789169
Sand fynbos;400;440
Sand fynbos;300;335,9568609
Sand fynbos;240;265,4377237
Sand fynbos;180;188,8486462
Sand fynbos;400;71
Sand fynbos;300;54,21122074
Sand fynbos;240;42,83199633
Sand fynbos;180;30,47330427
Sand fynbos;400;214
Sand fynbos;300;163,3972006
Sand fynbos;240;129,0992565
Sand fynbos;180;91,84911427
Sand fynbos;400;106
Sand fynbos;300;80,93506196
Sand fynbos;240;63,94636072
Sand fynbos;180;45,49535567
Sand fynbos;400;269
Sand fynbos;300;205,3918082
Sand fynbos;240;162,278972
Sand fynbos;180;115,455195
Sand fynbos;400;257
Sand fynbos;300;196,2293483
Sand fynbos;240;155,0397614
Sand fynbos;180;110,3047774
Sand fynbos;400;146
Sand fynbos;300;111,4765948
Sand fynbos;240;88,07706287
Sand fynbos;180;62,66341441
Sand fynbos;400;141
Sand fynbos;300;107,6589032
Sand fynbos;240;85,0607251
Sand fynbos;180;60,51740707
Sand fynbos;400;243
Sand fynbos;300;185,5398118
Sand fynbos;240;146,5940156
Sand fynbos;180;104,2959569
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;1006
Sand fynbos;300;768,1195503
Sand fynbos;240;606,8871592
Sand fynbos;180;431,7766774
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;39
Sand fynbos;300;29,77799449
Sand fynbos;240;23,5274346
Sand fynbos;180;16,73885727
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;655
Sand fynbos;300;500,1175998
Sand fynbos;240;395,1402478
Sand fynbos;180;281,1269619
Sand fynbos;400;939
Sand fynbos;300;716,9624828
Sand fynbos;240;566,4682331
Sand fynbos;180;403,020179
Sand fynbos;400;61
Sand fynbos;300;46,57583754
Sand fynbos;240;36,79932079
Sand fynbos;180;26,18128958
Sand fynbos;400;780
Sand fynbos;300;595,5598899
Sand fynbos;240;470,5486921
Sand fynbos;180;334,7771455
Sand fynbos;400;123
Sand fynbos;300;93,9152134
Sand fynbos;240;74,20190913
Sand fynbos;180;52,79178063
Sand fynbos;400;32
Sand fynbos;300;24,43322625
Sand fynbos;240;19,30456173
Sand fynbos;180;13,73444699
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;21
Sand fynbos;300;16,03430473
Sand fynbos;240;12,66861863
Sand fynbos;180;9,01323084
Sand fynbos;400;40
Sand fynbos;300;30,54153281
Sand fynbos;240;24,13070216
Sand fynbos;180;17,16805874
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;11
Sand fynbos;300;8,398921524
Sand fynbos;240;6,635943093
Sand fynbos;180;4,721216154
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;0
Sand fynbos;300;0
Sand fynbos;240;0
Sand fynbos;180;0
Sand fynbos;400;140
Sand fynbos;300;106,8953648
Sand fynbos;240;84,45745755
Sand fynbos;180;60,0882056
Sand fynbos;400;695
Sand fynbos;300;530,6591326
Sand fynbos;240;419,27095
Sand fynbos;180;298,2950207
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;385
Limestone fynbos;300;293,9622533
Limestone fynbos;240;232,2580083
Limestone fynbos;180;165,2425654
Limestone fynbos;400;252
Limestone fynbos;300;192,4116567
Limestone fynbos;240;152,0234236
Limestone fynbos;180;108,1587701
Limestone fynbos;400;308
Limestone fynbos;300;235,1698027
Limestone fynbos;240;185,8064066
Limestone fynbos;180;132,1940523
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;12
Limestone fynbos;300;9,162459844
Limestone fynbos;240;7,239210647
Limestone fynbos;180;5,150417623
Limestone fynbos;400;22
Limestone fynbos;300;16,79784305
Limestone fynbos;240;13,27188619
Limestone fynbos;180;9,442432308
Limestone fynbos;400;32
Limestone fynbos;300;24,43322625
Limestone fynbos;240;19,30456173
Limestone fynbos;180;13,73444699
Limestone fynbos;400;43
Limestone fynbos;300;32,83214777
Limestone fynbos;240;25,94050482
Limestone fynbos;180;18,45566315
Limestone fynbos;400;15
Limestone fynbos;300;11,4530748
Limestone fynbos;240;9,049013309
Limestone fynbos;180;6,438022028
Limestone fynbos;400;2
Limestone fynbos;300;1,527076641
Limestone fynbos;240;1,206535108
Limestone fynbos;180;0,858402937
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;69
Limestone fynbos;300;52,6841441
Limestone fynbos;240;41,62546122
Limestone fynbos;180;29,61490133
Limestone fynbos;400;122
Limestone fynbos;300;93,15167508
Limestone fynbos;240;73,59864158
Limestone fynbos;180;52,36257916
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;19
Limestone fynbos;300;14,50722809
Limestone fynbos;240;11,46208352
Limestone fynbos;180;8,154827903
Limestone fynbos;400;2
Limestone fynbos;300;1,527076641
Limestone fynbos;240;1,206535108
Limestone fynbos;180;0,858402937
Limestone fynbos;400;13
Limestone fynbos;300;9,925998164
Limestone fynbos;240;7,842478201
Limestone fynbos;180;5,579619091
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;0
Limestone fynbos;300;0
Limestone fynbos;240;0
Limestone fynbos;180;0
Limestone fynbos;400;9
