age;co2
27936;191
27955;189
27997;189
28043;189
28167;190
28284;192
28342;192
28440;193
28484;189
28497;190
28647;193
28696;193
28794;194
28912;194
28973;193
29019;193
29079;193
29221;192
29275;188
29320;192
29394;191
29436;190
29480;189
29679;189
29751;190
29813;191
29908;191
30022;191
30069;192
30172;188
30252;188
30348;187
30383;186
30471;184
30599;183
30783;187
30846;190
31175;188
31426;188
31594;190
31862;194
31888;193
32004;193
32097;193
32150;194
32218;196
32221;197
32378;192
32431;195
32505;194
32581;195
32665;194
32748;195
32784;196
32883;199
32951;197
33079;196
33218;198
33488;197
33561;197
33625;198
33828;200
33911;196
33956;195
33978;194
33996;194
34027;196
34062;195
34134;196
34260;195
34321;196
34383;196
34404;196
34627;200
34673;199
34690;200
34718;199
34781;197
34896;203
34937;203
35160;199
35236;204
35352;205
35407;204
35429;204
35453;201
35516;200
35567;201
35579;202
35601;202
35638;202
35743;202
35772;201
35925;203
36018;199
36157;204
36243;202
36332;200
36576;199
36662;205
36740;204
36783;204
36890;203
37010;204
37093;206
37189;210
37213;207
37367;208
37372;210
37408;207
37501;213
37531;210
37689;214
37718;212
37847;212
37965;214
38070;211
38159;214
38236;208
38262;207
38354;207
38429;208
38483;211
38543;207
38603;210
38644;208
38692;205
38741;204
38793;207
38883;206
38945;206
39026;206
39047;202
39124;204
39191;207
39336;209
39373;209
39390;209
39410;208
39449;205
39473;192
39524;198
39585;200
39691;196
39779;197
39827;194
39955;194
39971;198
40113;193
40182;193
40215;194
40378;198
40556;201
40623;201
40824;200
40977;201
41238;202
41374;204
41676;205
41829;201
41971;200
42386;201
42698;205
42920;206
43038;204
43242;203
43421;202
43586;204
43731;203
43879;202
44165;204
44274;202
44420;206
44561;205
44726;212
44886;210
45066;211
45212;208
45350;214
45530;215
45766;218
45947;223
46127;222
46251;219
46379;218
46706;216
46816;214
46958;211
47156;210
47385;208
47594;204
47780;204
48014;206
48293;206
48498;201
49058;202
49373;200
49533;204
49798;204
50077;204
50291;207
50597;207
51099;208
51501;212
51850;215
52157;214
52455;219
52644;221
52871;221
53178;224
53470;223
53876;221
54227;220
54457;218
54765;214
55084;217
55363;208
55623;215
55980;210
56307;208
56574;212
57281;216
57546;217
57914;224
58287;224
58503;223
59175;231
59450;226
59803;223
60180;217
60443;213
60587;217
60888;214
61131;208
61305;211
61624;211
61971;206
62622;203
62845;203
63031;200
63626;197
63967;197
64184;200
64727;204
64937;202
65117;199
65616;209
65835;198
66007;201
66509;204
67030;207
67385;201
67800;204
68216;200
68690;203
69152;205
69662;211
70122;216
70497;220
70999;225
71349;235
71764;238
72163;239
72560;233
72936;232
73289;231
73821;233
74291;231
74596;241
75138;243
75615;250
75921;250
76317;239
76767;238
77126;232
77686;225
78151;227
78578;224
79040;227
79480;229
79948;235
80400;231
80792;234
81277;230
81781;234
82139;239
82597;241
83058;246
83624;247
84011;251
84427;243
85007;238
85437;235
85961;229
86568;223
87098;221
87651;224
88206;218
88771;224
89315;227
89766;229
90387;230
90904;232
91515;231
92020;234
92738;232
93495;235
93893;238
94639;242
95304;243
95991;246
96545;246
97341;242
97997;240
98654;243
99431;243
100147;246
100613;248
101396;245
102042;240
102835;237
103379;241
104344;248
104401;239
105036;242
105577;249
106060;258
106326;241
106438;245
107045;240
108472;236
109199;244
109910;244
110625;247
111947;258
112706;257
113012;263
113189;265
113749;261
114320;268
114885;275
115517;277
115979;273
116546;274
117256;274
117689;275
118728;278
119313;268
119786;275
120214;269
120613;277
121496;279
121912;277
122170;278
122362;279
123084;279
123701;275
124029;276
124475;282
124887;276
125363;277
126084;275
126770;273
127032;275
127384;276
127574;277
128094;276
128243;281
128537;286
128948;271
129148;268
129726;261
130443;252
130888;251
131392;241
132046;232
132780;228
133002;225
133846;223
134592;212
136636;204
137833;199
138904;199
140020;193
142431;197
143721;195
144870;196
146178;194
148303;196
149536;202
150665;203
151515;202
153845;199
154959;196
156377;189
158736;189
159786;186
160225;188
163928;204
164405;197
166213;192
166854;190
167984;187
168816;184
169584;197
172009;198
174512;198
175903;196
176923;190
177604;189
177800;190
179943;208
181372;213
182266;218
183328;198
184441;200
186481;203
188507;211
189877;231
191325;231
192034;220
193145;218
195197;227
195870;220
197657;226
198397;241
199008;243
201822;251
202815;239
203912;248
205273;244
205646;232
206015;232
206430;229
206967;226
207310;229
207693;231
208179;238
208345;237
208892;230
209152;241
209515;242
210036;245
210245;244
210902;247
211128;252
211648;247
212149;240
212603;257
213400;243
214229;251
215151;241
215982;240
216376;243
216935;248
217486;252
217765;251
218271;245
219138;241
221006;214
221767;216
222610;207
223199;209
224342;206
226330;203
226920;216
227790;236
228509;235
228837;233
229642;225
231200;232
232262;234
232926;242
236061;245
236496;252
236921;241
237462;247
237976;243
238495;239
239078;246
239457;246
239809;247
240260;253
241403;260
241925;263
242755;279
243209;280
244192;264
244652;252
245127;250
